xcord,ycord,zcord,carbon,year,plot,state,sizeclass,DBH,commonname,scientificname
320370.2975,4091975.538,2017.9000244140625,0.012244928,2004,bn2,Live,1,9.3,White Fir,Abies concolor
320373.2675,4091963.668,2015,0.08333852,2004,bn2,Live,2,20.2,White Fir,Abies concolor
320375.9275,4091970.228,2015.5400390625,0.003989161,2004,bn2,Dead,1,5.9,White Fir,Abies concolor
320341.9075,4091969.718,2019.1600341796875,0.111980218,2004,bn2,Dead,2,26.2,N/A,N/A
320319.3075,4091961.508,2016.489990234375,0.538056701,2004,bn2,Dead,3,48.9,White Fir,Abies concolor
320301.9975,4092048.718,2028.8299560546875,0.40130232,2004,bn2,Live,2,38.1,White Fir,Abies concolor
320302.5575,4092048.858,2028.72998046875,1.357980217,2004,bn2,Live,4,62.3,White Fir,Abies concolor
320430.6875,4092040.088,2001.739990234375,0.012671977,2004,bn2,Dead,1,9.7,Incense Cedar,Calocedrus decurrens
320430.1675,4092041.998,2002.199951171875,0.004287631,2004,bn2,Dead,1,5.8,Incense Cedar,Calocedrus decurrens
320478.5375,4092036.418,1986.3399658203125,0.005159477,2004,bn2,Live,1,6.3,Incense Cedar,Calocedrus decurrens
320474.1475,4092064.288,1995.5699462890625,0.007685772,2004,bn2,Live,1,7.7,White Fir,Abies concolor
320437.6175,4092070.228,1997.18994140625,0.211189821,2004,bn2,Live,2,32.8,Incense Cedar,Calocedrus decurrens
320447.7075,4092061.938,1993.7900390625,0.041291685,2004,bn2,Dead,1,15.9,Incense Cedar,Calocedrus decurrens
320433.2875,4092058.658,1999.81005859375,0.009525317,2004,bn2,Dead,1,8.4,White Fir,Abies concolor
320364.4075,4092073.898,2021.8699951171875,0.008089862,2004,bn2,Live,1,7.7,Incense Cedar,Calocedrus decurrens
320358.6475,4092067.288,2025.27001953125,0.036214815,2004,bn2,Live,1,15,Incense Cedar,Calocedrus decurrens
320407.1875,4092016.668,2012.1300048828125,0.005865127,2004,bn2,Live,1,6.9,White Fir,Abies concolor
320407.8175,4092015.568,2011.77001953125,0.019809425,2004,bn2,Live,1,11.3,White Fir,Abies concolor
320406.9975,4092010.838,2011.5899658203125,0.609582557,2004,bn2,Live,3,45.1,White Fir,Abies concolor
320407.9075,4092010.758,2011.2900390625,0.523089132,2004,bn2,Live,3,42.4,White Fir,Abies concolor
320402.8075,4092007.048,2012.1800537109375,0.068849064,2004,bn2,Dead,1,18.7,White Fir,Abies concolor
320406.9175,4092005.448,2010.7099609375,3.813813752,2004,bn2,Live,6,118.2,Incense Cedar,Calocedrus decurrens
320411.3675,4092004.218,2009.3800048828125,0.012659734,2004,bn2,Dead,1,9.4,Incense Cedar,Calocedrus decurrens
320416.2575,4092003.148,2007.739990234375,0.094435129,2004,bn2,Live,2,22.5,Sugar Pine,Pinus lambertiana
320402.9075,4091965.968,2007.780029296875,0.059472763,2004,bn2,Dead,1,18.6,Sugar Pine,Pinus lambertiana
320419.1575,4091992.918,2005.510009765625,0.013845849,2004,bn2,Live,1,10.2,Sugar Pine,Pinus lambertiana
320423.7075,4091986.938,2003.3699951171875,0.149742531,2004,bn2,Dead,2,27.2,Sugar Pine,Pinus lambertiana
320451.2725,4092014.043,1994.449951171875,8.449420343,2004,bn2,Live,6,130.2,White Fir,Abies concolor
320432.3775,4092023.688,2001.489990234375,0.024427461,2004,bn2,Live,1,12.3,White Fir,Abies concolor
320453.5675,4092035.778,1992.2900390625,0.272700895,2004,bn2,Live,2,32.6,White Fir,Abies concolor
320416.3475,4092058.248,2006.8399658203125,0.847029484,2004,bn2,Live,3,51.5,White Fir,Abies concolor
320417.9675,4092056.688,2006.0699462890625,0.2939006,2004,bn2,Live,2,33.6,White Fir,Abies concolor
320425.7075,4092058.738,2002.6700439453125,0.018559457,2004,bn2,Dead,1,11.3,White Fir,Abies concolor
320425.2075,4092058.298,2003.1600341796875,5.424845306,2004,bn2,Live,6,108.9,White Fir,Abies concolor
320417.1475,4092075.818,2005.6300048828125,1.435719498,2004,bn2,Live,4,68.9,Sugar Pine,Pinus lambertiana
320441.2075,4092101.273,2005.9200439453125,5.339523979,2004,bn2,Live,6,118.2,Sugar Pine,Pinus lambertiana
320414.1225,4092097.843,2008.780029296875,5.580432083,2004,bn2,Live,6,139.9,Incense Cedar,Calocedrus decurrens
320360.6075,4092086.473,2020.9599609375,3.998401257,2004,bn2,Live,6,120.7,Incense Cedar,Calocedrus decurrens
320325.5575,4092064.088,2030.280029296875,0.898235166,2004,bn2,Live,4,62.3,Incense Cedar,Calocedrus decurrens
320318.2975,4092011.328,2023.199951171875,0.647759448,2004,bn2,Live,3,53.9,Incense Cedar,Calocedrus decurrens
320321.9975,4092011.028,2023.5799560546875,0.022230137,2004,bn2,Dead,1,12.4,Sugar Pine,Pinus lambertiana
320322.7775,4092007.328,2023.1199951171875,13.11830954,2004,bn2,Live,6,171,Sugar Pine,Pinus lambertiana
320359.1575,4091999.708,2023.949951171875,0.004506957,2004,bn2,Live,1,6.2,White Fir,Abies concolor
320360.7775,4092012.858,2026.3900146484375,0.333292674,2004,bn2,Dead,2,37.8,Jeffrey Pine,Pinus jeffreyi
320358.2375,4092009.028,2025.97998046875,0.014512911,2004,bn2,Dead,1,10.4,Jeffrey Pine,Pinus jeffreyi
320355.9875,4092007.378,2025.6500244140625,0.684001596,2004,bn2,Live,3,50.8,Jeffrey Pine,Pinus jeffreyi
320352.3375,4092015.958,2027.5699462890625,0.040637993,2004,bn2,Dead,1,15.9,Jeffrey Pine,Pinus jeffreyi
320355.4275,4092017.398,2028.0400390625,0.026831472,2004,bn2,Live,1,13.4,Jeffrey Pine,Pinus jeffreyi
320354.8475,4092028.438,2030.8599853515625,7.811744791,2004,bn2,Dead,6,138.2,Sugar Pine,Pinus lambertiana
320387.3075,4092005.788,2017.06005859375,0.018121869,2004,bn2,Live,1,10.9,White Fir,Abies concolor
320385.9175,4092007.938,2017.4300537109375,0.005159477,2004,bn2,Dead,1,6.3,Incense Cedar,Calocedrus decurrens
320385.1375,4092013.458,2017.9599609375,0.036691578,2004,bn2,Dead,1,14.5,White Fir,Abies concolor
320382.5675,4092017.738,2018.77001953125,0.693434744,2004,bn2,Dead,3,52.1,Jeffrey Pine,Pinus jeffreyi
320380.1675,4092049.018,2021.93994140625,3.073340614,2004,bn2,Live,5,94.2,Jeffrey Pine,Pinus jeffreyi
320384.5975,4092050.098,2019.7900390625,0.878346145,2004,bn2,Live,3,56.3,Jeffrey Pine,Pinus jeffreyi
320389.0675,4092045.668,2018.6099853515625,0.186947512,2004,bn2,Live,2,29.8,Sugar Pine,Pinus lambertiana
320394.0775,4092043.448,2016.5799560546875,0.145759881,2004,bn2,Live,2,26.9,Jeffrey Pine,Pinus jeffreyi
320429.5875,4092013.968,2002.4100341796875,5.433885716,2004,bn2,Dead,6,121.3,Sugar Pine,Pinus lambertiana
320416.6375,4092030.218,2007.219970703125,0.024929689,2004,bn2,Live,1,13,Jeffrey Pine,Pinus jeffreyi
320416.4675,4092029.998,2007.75,0.042524429,2004,bn2,Live,1,16.2,Jeffrey Pine,Pinus jeffreyi
320423.5875,4091967.528,2000.8800048828125,0.008327459,2004,bn2,Live,1,7.8,Incense Cedar,Calocedrus decurrens
320421.3275,4091967.308,2001.6600341796875,0.137309406,2004,bn2,Live,2,27.1,Incense Cedar,Calocedrus decurrens
320416.1575,4091967.358,2003.3699951171875,0.143139865,2004,bn2,Live,2,26.7,Jeffrey Pine,Pinus jeffreyi
320441.4275,4091993.768,1997.9100341796875,0.152432845,2004,bn2,Live,2,27.4,Jeffrey Pine,Pinus jeffreyi
320436.3975,4092024.388,1999.760009765625,0.523089132,2004,bn2,Live,3,42.4,White Fir,Abies concolor
320459.4975,4092040.988,1990.1600341796875,0.012964275,2004,bn2,Live,1,9.5,Incense Cedar,Calocedrus decurrens
320467.2375,4092035.978,1988.4100341796875,0.047123781,2004,bn2,Dead,1,16.9,Sugar Pine,Pinus lambertiana
320475.4375,4092032.508,1985.5899658203125,13.16780231,2004,bn2,Live,6,155.7,White Fir,Abies concolor
320469.7575,4091966.618,1984.6500244140625,0.674216886,2004,bn2,Live,3,50.5,Jeffrey Pine,Pinus jeffreyi
320467.0675,4091970.758,1986.2900390625,0.113695821,2004,bn2,Live,2,22.9,White Fir,Abies concolor
320469.6975,4091974.368,1985.3599853515625,0.005455225,2004,bn2,Dead,1,6.7,White Fir,Abies concolor
320464.8975,4091981.593,1987.949951171875,1.796982478,2004,bn2,Live,5,84.7,Incense Cedar,Calocedrus decurrens
320465.6175,4091976.723,1987.199951171875,1.080357507,2004,bn2,Live,4,61.3,Jeffrey Pine,Pinus jeffreyi
320462.4575,4091976.758,1988.6600341796875,3.010206683,2004,bn2,Live,5,93.4,Jeffrey Pine,Pinus jeffreyi
320433.8075,4091970.438,1997.489990234375,0.005007445,2004,bn2,Live,1,6.7,Sugar Pine,Pinus lambertiana
320433.9175,4091970.288,1997.489990234375,0.028094934,2004,bn2,Live,1,13.4,Incense Cedar,Calocedrus decurrens
320409.6975,4092064.048,2009.0999755859375,0.029634362,2004,bn2,Live,1,13.3,White Fir,Abies concolor
320410.6675,4092062.618,2008.7900390625,0.019379114,2004,bn2,Live,1,11.2,White Fir,Abies concolor
320409.6875,4092062.128,2009.280029296875,0.006968556,2004,bn2,Live,1,7.4,White Fir,Abies concolor
